text,type,urgency,tone
"Уважаемые акционеры, сообщаем о проведении годового общего собрания акционеров 25 марта 2026 года в головном офисе Банка. Материалы к собранию будут доступны с 1 марта 2026 года.",Notification or Information,Medium,Strictly Official
Просим согласовать изменение тарифного плана по договору №№ПР-926 от 20.02.2025.,Approval Request,High,Client-Oriented
Просим подтвердить подлинность предоставленной клиентом банковской гарантии №БГ-789 от 01.11.2025 и направить официальное подтверждение ее действительности.,Information/Document Request,High,Strictly Official
Добрый день! Подготовили черновик пресс-релиза о запуске нового мобильного приложения. Прошу проверить текст на соответствие корпоративным стандартам и утвердить для распространения в СМИ. Особое внимание уделили разделу о преимуществах для клиентов.,Approval Request,High,Client-Oriented
Добрый день! Для участия в тендере нужна справка об оборотах по счету за последние 6 месяцев. Можете подготовить?,Information/Document Request,Medium,Client-Oriented
"В целях проведения проверки соблюдения требований Федерального закона № 353-ФЗ ""О потребительском кредите"" запрашиваем выборочные кредитные досье по 50 договорам потребительского кредитования, заключенным в период с 01.07.2025 по 30.09.2025.",Regulatory Request,High,Strictly Official
"Уважаемые сотрудники, информируем о проведении обязательного обучения по информационной безопасности с 15 по 20 декабря 2025 года. Курс доступен в системе дистанционного обучения. Прохождение обязательно для всех сотрудников.",Notification or Information,High,Business Corporate
Просим подтвердить наличие и предоставить реквизиты действующих лицензий Банка на осуществление банковских операций.,Information/Document Request,Medium,Business Corporate
"Уважаемый Алексей Викторович, просим согласовать бюджет на проведение корпоративного тимбилдинга для сотрудников департамента розничного бизнеса. Мероприятие запланировано на 25-26 января 2026 года в подмосковном отеле. Общая стоимость - 1 200 000 рублей.",Approval Request,Low,Business Corporate
Привет! Мы запускаем новый fintech-проект для молодых предпринимателей и ищем банк-партнера для совместного развития экосистемы. Можем предложить эксклюзивный доступ к аудитории 25-35 лет через наши digital-каналы. Давайте обсудим синергию?,Partnership Proposal,Low,Client-Oriented
Выражаем крайнее недовольство качеством обслуживания. Регулярные сбои в системе ДБО приводят к срыву платежей.,Official Complaint or Claim,High,Business Corporate
Просим согласовать выдачу банковской гарантии №№Д-295 от 20.01.2024 на сумму 83 232 рублей.,Approval Request,Low,Business Corporate
"В соответствии с Положением Банка России № 683-П от 17.08.2023 и Указанием № 5348-У от 18.03.2025 запрашиваем информацию о проведенных валютных операциях резидентов с нерезидентами на сумму, эквивалентную превышающую 200 000 USD, за ноябрь 2025 года.",Regulatory Request,High,Strictly Official
Настоящим сообщаем о неоднократном несанкционированном списании средств с нашего корпоративного счета №40702810500000012345 в период с 15.11.2025 по 25.11.2025 на общую сумму 45 780 рублей. Требуем немедленного разбирательства и возврата средств в течение 3 рабочих дней.,Official Complaint or Claim,High,Strictly Official
Настоящим сообщаем о несанкционированном списании средств с нашего счета №40701810693676320163 в период с 29.06.2024 по 10.10.2024 на сумму 35 954 рублей. Требуем расследования и возврата средств.,Official Complaint or Claim,Medium,Business Corporate
Просим согласовать изменение тарифного плана по договору №№ПР-600 от 20.06.2024.,Approval Request,Medium,Strictly Official
"Уважаемый руководитель отделения, вынуждены обратиться с жалобой на качество расчетно-кассового обслуживания. Операции по валютным платежам регулярно задерживаются на 2-3 рабочих дня без объяснения причин.",Official Complaint or Claim,Medium,Business Corporate
Просим согласовать выдачу банковской гарантии №№ПР-945 от 29.08.2025 на сумму 85 490 рублей.,Approval Request,Medium,Strictly Official
СРОЧНО! Предлагаем совместную маркетинговую акцию для привлечения новых корпоративных клиентов. Ждем контактов для обсуждения.,Partnership Proposal,Medium,Business Corporate
"Уважаемый директор по маркетингу, медиахолдинг ""Деловые СМИ"" предлагает эксклюзивное информационное партнерство на 2026 год. В пакет входит: размещение экспертных материалов, организация круглых столов, спецпроекты в 5 федеральных изданиях. Аудитория охвата - 2 млн+.",Partnership Proposal,Medium,Business Corporate
"СРОЧНО! Требуем предоставить справки о движении средств по расчетному счету ООО ""Вектор"" за 2023 год в течение 2 рабочих дней.",Information/Document Request,High,Strictly Official
Необходимо утвердить предоставление овердрафта в размере 64 444 рублей на срок 6 месяцев. Просим рассмотреть вопрос в приоритетном порядке.,Approval Request,Low,Strictly Official
Информируем о временной приостановке обслуживания по причине плановых работ в системе ДБО 01.12.2025.,Notification or Information,Medium,Business Corporate
Настоящим направляем на согласование проект дополнительного соглашения №2 к договору банковского обслуживания №Д-789 от 12.03.2024. Изменения касаются порядка предоставления выписок в электронном виде. Просим рассмотреть в течение 10 рабочих дней.,Approval Request,Medium,Strictly Official
Привет! Мы запускаем новый fintech-проект для молодых предпринимателей и ищем банк-партнера для совместного развития экосистемы. Можем предложить эксклюзивный доступ к аудитории 25-35 лет через наши digital-каналы. Давайте обсудим синергию?,Partnership Proposal,Low,Client-Oriented
Неприемлемое поведение сотрудника Иванова А.С. при оформлении документов. Просим принять меры.,Official Complaint or Claim,Medium,Client-Oriented
В соответствии с п. 3.4 Договора №БС-5678 от 10.09.2024 просим предоставить отчет о состоянии задолженности и начисленных процентах по состоянию на 25.11.2025.,Information/Document Request,Medium,Business Corporate
"СРОЧНО! Требуем предоставить справки о движении средств по расчетному счету АО ""Мегабанк"" за 2023 год в течение 2 рабочих дней.",Information/Document Request,Low,Client-Oriented
Для оформления визы руководителю нужна справка о наличии средств на счете компании. Можно получить в отделении?,Information/Document Request,Low,Client-Oriented
"На основании действующего законодательства просим направить документы и сведения, подтверждающие операции по счету №40702810658202970213 за период 22.10.2025 - 08.12.2025. Просим рассмотреть вопрос в приоритетном порядке.",Regulatory Request,Medium,Client-Oriented
Просим подтвердить наличие и предоставить реквизиты действующих лицензий Банка на осуществление банковских операций.,Information/Document Request,Medium,Strictly Official
"Добрый день! Мы представляем платформу для корпоративного обучения ""ProEducation"" и хотели бы предложить банку специальные условия для сотрудников. В нашем каталоге более 500 курсов по финансам, менеджменту и digital-навыкам. Готовы организовать пробный период для оценки эффективности.",Partnership Proposal,Low,Client-Oriented
Просим согласовать выдачу банковской гарантии №№ПР-614 от 26.02.2024 на сумму 136 817 рублей.,Approval Request,High,Strictly Official
"В соответствии с Указанием Банка России № 5036-У от 25.12.2024 ""О перечне информации о деятельности кредитной организации, подлежащей раскрытию"" требуем представления ежеквартальной отчетности по форме 0420150 ""Отчет о качестве активов"" за III квартал 2025 года.",Regulatory Request,High,Strictly Official
Добрый день! Подготовили сценарий ролика для соцсетей о карте с кэшбэком. Прошу согласовать концепцию и текст. Особенно важно утвердить раздел про условия начисления бонусов.,Approval Request,Low,Client-Oriented
